property_category,service_package,plan_type,area_key,amount,floor_amount,gst_percent,billing_basis,notes,source_sheet,source_row,expected_gst,expected_total
hotel,Cockroach Premium,One Time Service,Hotel - 11-20 rooms,5800.00,5100.00,18.00,,Odourless/gel-led treatment,Hotel & Restaurant,7,1044.00,6844.00
hotel,Cockroach Standard,One Time Service,Hotel - 21-30 rooms,6000.00,5300.00,18.00,,Guest rooms + normal common areas,Hotel & Restaurant,8,1080.00,7080.00
hotel,Cockroach Premium,One Time Service,Hotel - 21-30 rooms,8200.00,7200.00,18.00,,Odourless/gel-led treatment,Hotel & Restaurant,9,1476.00,9676.00
hotel,Cockroach Standard,One Time Service,Hotel - 31-50 rooms,8500.00,7500.00,18.00,,Guest rooms + normal common areas,Hotel & Restaurant,10,1530.00,10030.00
hotel,Cockroach Premium,One Time Service,Hotel - 31-50 rooms,11800.00,10400.00,18.00,,Odourless/gel-led treatment,Hotel & Restaurant,11,2124.00,13924.00
hotel,Integrated IPM,One Time Service,Restaurant / Cloud Kitchen - Small - up to 500 sq.ft.,1800.00,1600.00,18.00,,Cockroach + crawling pests + rodent monitoring,Hotel & Restaurant,12,324.00,2124.00
hotel,Integrated IPM,4 Visits/Month,Restaurant / Cloud Kitchen - Small - up to 500 sq.ft.,3500.00,3100.00,18.00,,Food-premises reporting included,Hotel & Restaurant,13,630.00,4130.00
hotel,Integrated IPM,8 Visits/Month,Restaurant / Cloud Kitchen - Small - up to 500 sq.ft.,6000.00,5300.00,18.00,,High-risk/complaint-prone operation,Hotel & Restaurant,14,1080.00,7080.00
hotel,Integrated IPM,One Time Service,"Restaurant / Cloud Kitchen - Medium - 501-1,500 sq.ft.",2800.00,2450.00,18.00,,Cockroach + crawling pests + rodent monitoring,Hotel & Restaurant,15,504.00,3304.00
hotel,Integrated IPM,4 Visits/Month,"Restaurant / Cloud Kitchen - Medium - 501-1,500 sq.ft.",5500.00,4850.00,18.00,,Food-premises reporting included,Hotel & Restaurant,16,990.00,6490.00
hotel,Integrated IPM,8 Visits/Month,"Restaurant / Cloud Kitchen - Medium - 501-1,500 sq.ft.",9500.00,8350.00,18.00,,High-risk/complaint-prone operation,Hotel & Restaurant,17,1710.00,11210.00
hotel,Integrated IPM,One Time Service,"Restaurant / Cloud Kitchen - Large - 1,501-3,000 sq.ft.",4500.00,3950.00,18.00,,Cockroach + crawling pests + rodent monitoring,Hotel & Restaurant,18,810.00,5310.00
hotel,Integrated IPM,4 Visits/Month,"Restaurant / Cloud Kitchen - Large - 1,501-3,000 sq.ft.",8500.00,7500.00,18.00,,Food-premises reporting included,Hotel & Restaurant,19,1530.00,10030.00
hotel,Integrated IPM,8 Visits/Month,"Restaurant / Cloud Kitchen - Large - 1,501-3,000 sq.ft.",14500.00,12750.00,18.00,,High-risk/complaint-prone operation,Hotel & Restaurant,20,2610.00,17110.00
hotel,Bed Bugs,One Time Service,Hotel - Minimum 3 affected rooms,2000.00,1750.00,18.00,,"Per affected room; minimum ₹6,000 basic",Hotel & Restaurant,21,360.00,2360.00
corporate,Integrated IPM,One Time Service,Corporate Office / Bank - Small,1800.00,1600.00,18.00,,"Up to 1,000 sq.ft.. Cockroach/crawling insects + rodent inspection",Corporate One-Time,4,324.00,2124.00
corporate,Integrated IPM,One Time Service,Corporate Office / Bank - Medium,3500.00,3100.00,18.00,,"1,001-3,000 sq.ft.. Cockroach/crawling insects + rodent inspection",Corporate One-Time,5,630.00,4130.00
corporate,Integrated IPM,One Time Service,Corporate Office / Bank - Large,6000.00,5300.00,18.00,,"3,001-7,000 sq.ft.. Cockroach/crawling insects + rodent inspection",Corporate One-Time,6,1080.00,7080.00
corporate,Integrated IPM,One Time Service,Retail Outlet - Small,2200.00,1950.00,18.00,,"Up to 1,000 sq.ft.. General pest + rodent monitoring",Corporate One-Time,7,396.00,2596.00
corporate,Integrated IPM,One Time Service,Retail Outlet - Medium,4000.00,3500.00,18.00,,"1,001-3,000 sq.ft.. General pest + rodent monitoring",Corporate One-Time,8,720.00,4720.00
corporate,Integrated IPM,One Time Service,Retail Outlet - Large,7000.00,6150.00,18.00,,"3,001-7,000 sq.ft.. General pest + rodent monitoring",Corporate One-Time,9,1260.00,8260.00
corporate,Integrated IPM,One Time Service,Food Outlet / Dark Store - Small,2800.00,2450.00,18.00,,"Up to 1,000 sq.ft.. Integrated pest management for higher-risk site",Corporate One-Time,10,504.00,3304.00
corporate,Integrated IPM,One Time Service,Food Outlet / Dark Store - Medium,4800.00,4200.00,18.00,,"1,001-3,000 sq.ft.. Integrated pest management for higher-risk site",Corporate One-Time,11,864.00,5664.00
corporate,Integrated IPM,One Time Service,Food Outlet / Dark Store - Large,8000.00,7050.00,18.00,,"3,001-7,000 sq.ft.. Integrated pest management for higher-risk site",Corporate One-Time,12,1440.00,9440.00
corporate,Integrated IPM,One Time Service,Warehouse / Fulfilment Centre - Small,4500.00,3950.00,18.00,,"Up to 5,000 sq.ft.. General pest + rodent monitoring; equipment extra",Corporate One-Time,13,810.00,5310.00
corporate,Integrated IPM,One Time Service,Warehouse / Fulfilment Centre - Medium,8000.00,7050.00,18.00,,"5,001-15,000 sq.ft.. General pest + rodent monitoring; equipment extra",Corporate One-Time,14,1440.00,9440.00
corporate,Integrated IPM,One Time Service,Warehouse / Fulfilment Centre - Large,13500.00,11900.00,18.00,,"15,001-30,000 sq.ft.. General pest + rodent monitoring; equipment extra",Corporate One-Time,15,2430.00,15930.00
corporate,Integrated IPM,One Time Service,School / College - Small,4000.00,3500.00,18.00,,"Up to 5,000 sq.ft.. Classrooms + normal common areas",Corporate One-Time,16,720.00,4720.00
corporate,Integrated IPM,One Time Service,School / College - Medium,7000.00,6150.00,18.00,,"5,001-15,000 sq.ft.. Classrooms + normal common areas",Corporate One-Time,17,1260.00,8260.00
corporate,Integrated IPM,One Time Service,School / College - Large,12000.00,10550.00,18.00,,"15,001-30,000 sq.ft.. Classrooms + normal common areas",Corporate One-Time,18,2160.00,14160.00
corporate,Integrated IPM,One Time Service,Factory / Industrial Unit - Small,5000.00,4400.00,18.00,,"Up to 5,000 sq.ft.. Inspection-based general pest and rodent scope",Corporate One-Time,19,900.00,5900.00
corporate,Integrated IPM,One Time Service,Factory / Industrial Unit - Medium,9000.00,7900.00,18.00,,"5,001-15,000 sq.ft.. Inspection-based general pest and rodent scope",Corporate One-Time,20,1620.00,10620.00
corporate,Integrated IPM,One Time Service,Factory / Industrial Unit - Large,15000.00,13200.00,18.00,,"15,001-30,000 sq.ft.. Inspection-based general pest and rodent scope",Corporate One-Time,21,2700.00,17700.00
corporate_monthly,Integrated IPM,4 Visits/Month,Corporate Office / Bank - Small,2500.00,2200.00,18.00,Per month,"Up to 1,000 sq.ft.. Normal risk. Standard report + sighting log; traps within normal consumption",Corporate Monthly,4,450.00,2950.00
corporate_monthly,Integrated IPM,8 Visits/Month,Corporate Office / Bank - Small,4200.00,3700.00,18.00,Per month,"Up to 1,000 sq.ft.. Normal risk. Standard report + sighting log; traps within normal consumption",Corporate Monthly,5,756.00,4956.00
corporate_monthly,Integrated IPM,12 Visits/Month,Corporate Office / Bank - Small,6000.00,5300.00,18.00,Per month,"Up to 1,000 sq.ft.. Normal risk. Standard report + sighting log; traps within normal consumption",Corporate Monthly,6,1080.00,7080.00
corporate_monthly,Integrated IPM,4 Visits/Month,Corporate Office / Bank - Medium,4500.00,3950.00,18.00,Per month,"1,001-3,000 sq.ft.. Normal risk. Standard report + sighting log; traps within normal consumption",Corporate Monthly,7,810.00,5310.00
corporate_monthly,Integrated IPM,8 Visits/Month,Corporate Office / Bank - Medium,7500.00,6600.00,18.00,Per month,"1,001-3,000 sq.ft.. Normal risk. Standard report + sighting log; traps within normal consumption",Corporate Monthly,8,1350.00,8850.00
corporate_monthly,Integrated IPM,12 Visits/Month,Corporate Office / Bank - Medium,10500.00,9250.00,18.00,Per month,"1,001-3,000 sq.ft.. Normal risk. Standard report + sighting log; traps within normal consumption",Corporate Monthly,9,1890.00,12390.00
corporate_monthly,Integrated IPM,4 Visits/Month,Corporate Office / Bank - Large,7500.00,6600.00,18.00,Per month,"3,001-7,000 sq.ft.. Normal risk. Standard report + sighting log; traps within normal consumption",Corporate Monthly,10,1350.00,8850.00
corporate_monthly,Integrated IPM,8 Visits/Month,Corporate Office / Bank - Large,12500.00,11000.00,18.00,Per month,"3,001-7,000 sq.ft.. Normal risk. Standard report + sighting log; traps within normal consumption",Corporate Monthly,11,2250.00,14750.00
corporate_monthly,Integrated IPM,12 Visits/Month,Corporate Office / Bank - Large,18000.00,15850.00,18.00,Per month,"3,001-7,000 sq.ft.. Normal risk. Standard report + sighting log; traps within normal consumption",Corporate Monthly,12,3240.00,21240.00
corporate_monthly,Integrated IPM,4 Visits/Month,Retail Outlet - Small,2800.00,2450.00,18.00,Per month,"Up to 1,000 sq.ft.. Normal risk. Standard report + sighting log; traps within normal consumption",Corporate Monthly,13,504.00,3304.00
corporate_monthly,Integrated IPM,8 Visits/Month,Retail Outlet - Small,4800.00,4200.00,18.00,Per month,"Up to 1,000 sq.ft.. Normal risk. Standard report + sighting log; traps within normal consumption",Corporate Monthly,14,864.00,5664.00
corporate_monthly,Integrated IPM,12 Visits/Month,Retail Outlet - Small,6800.00,6000.00,18.00,Per month,"Up to 1,000 sq.ft.. Normal risk. Standard report + sighting log; traps within normal consumption",Corporate Monthly,15,1224.00,8024.00
corporate_monthly,Integrated IPM,4 Visits/Month,Retail Outlet - Medium,5000.00,4400.00,18.00,Per month,"1,001-3,000 sq.ft.. Normal risk. Standard report + sighting log; traps within normal consumption",Corporate Monthly,16,900.00,5900.00
corporate_monthly,Integrated IPM,8 Visits/Month,Retail Outlet - Medium,8500.00,7500.00,18.00,Per month,"1,001-3,000 sq.ft.. Normal risk. Standard report + sighting log; traps within normal consumption",Corporate Monthly,17,1530.00,10030.00
corporate_monthly,Integrated IPM,12 Visits/Month,Retail Outlet - Medium,12000.00,10550.00,18.00,Per month,"1,001-3,000 sq.ft.. Normal risk. Standard report + sighting log; traps within normal consumption",Corporate Monthly,18,2160.00,14160.00
corporate_monthly,Integrated IPM,4 Visits/Month,Retail Outlet - Large,8500.00,7500.00,18.00,Per month,"3,001-7,000 sq.ft.. Normal risk. Standard report + sighting log; traps within normal consumption",Corporate Monthly,19,1530.00,10030.00
corporate_monthly,Integrated IPM,8 Visits/Month,Retail Outlet - Large,14500.00,12750.00,18.00,Per month,"3,001-7,000 sq.ft.. Normal risk. Standard report + sighting log; traps within normal consumption",Corporate Monthly,20,2610.00,17110.00
corporate_monthly,Integrated IPM,12 Visits/Month,Retail Outlet - Large,20500.00,18050.00,18.00,Per month,"3,001-7,000 sq.ft.. Normal risk. Standard report + sighting log; traps within normal consumption",Corporate Monthly,21,3690.00,24190.00
corporate_monthly,Integrated IPM,4 Visits/Month,Food Outlet / Dark Store - Small,3500.00,3100.00,18.00,Per month,"Up to 1,000 sq.ft.. Higher risk / food. Standard report + sighting log; traps within normal consumption",Corporate Monthly,22,630.00,4130.00
corporate_monthly,Integrated IPM,8 Visits/Month,Food Outlet / Dark Store - Small,6000.00,5300.00,18.00,Per month,"Up to 1,000 sq.ft.. Higher risk / food. Standard report + sighting log; traps within normal consumption",Corporate Monthly,23,1080.00,7080.00
corporate_monthly,Integrated IPM,12 Visits/Month,Food Outlet / Dark Store - Small,8500.00,7500.00,18.00,Per month,"Up to 1,000 sq.ft.. Higher risk / food. Standard report + sighting log; traps within normal consumption",Corporate Monthly,24,1530.00,10030.00
corporate_monthly,Integrated IPM,4 Visits/Month,Food Outlet / Dark Store - Medium,6000.00,5300.00,18.00,Per month,"1,001-3,000 sq.ft.. Higher risk / food. Standard report + sighting log; traps within normal consumption",Corporate Monthly,25,1080.00,7080.00
corporate_monthly,Integrated IPM,8 Visits/Month,Food Outlet / Dark Store - Medium,10500.00,9250.00,18.00,Per month,"1,001-3,000 sq.ft.. Higher risk / food. Standard report + sighting log; traps within normal consumption",Corporate Monthly,26,1890.00,12390.00
corporate_monthly,Integrated IPM,12 Visits/Month,Food Outlet / Dark Store - Medium,14500.00,12750.00,18.00,Per month,"1,001-3,000 sq.ft.. Higher risk / food. Standard report + sighting log; traps within normal consumption",Corporate Monthly,27,2610.00,17110.00
corporate_monthly,Integrated IPM,4 Visits/Month,Food Outlet / Dark Store - Large,10000.00,8800.00,18.00,Per month,"3,001-7,000 sq.ft.. Higher risk / food. Standard report + sighting log; traps within normal consumption",Corporate Monthly,28,1800.00,11800.00
corporate_monthly,Integrated IPM,8 Visits/Month,Food Outlet / Dark Store - Large,17500.00,15400.00,18.00,Per month,"3,001-7,000 sq.ft.. Higher risk / food. Standard report + sighting log; traps within normal consumption",Corporate Monthly,29,3150.00,20650.00
corporate_monthly,Integrated IPM,12 Visits/Month,Food Outlet / Dark Store - Large,24000.00,21100.00,18.00,Per month,"3,001-7,000 sq.ft.. Higher risk / food. Standard report + sighting log; traps within normal consumption",Corporate Monthly,30,4320.00,28320.00
corporate_monthly,Integrated IPM,4 Visits/Month,Warehouse / Fulfilment Centre - Small,5000.00,4400.00,18.00,Per month,"Up to 5,000 sq.ft.. Higher risk / storage. Standard report + sighting log; traps within normal consumption",Corporate Monthly,31,900.00,5900.00
corporate_monthly,Integrated IPM,8 Visits/Month,Warehouse / Fulfilment Centre - Small,8500.00,7500.00,18.00,Per month,"Up to 5,000 sq.ft.. Higher risk / storage. Standard report + sighting log; traps within normal consumption",Corporate Monthly,32,1530.00,10030.00
corporate_monthly,Integrated IPM,12 Visits/Month,Warehouse / Fulfilment Centre - Small,12000.00,10550.00,18.00,Per month,"Up to 5,000 sq.ft.. Higher risk / storage. Standard report + sighting log; traps within normal consumption",Corporate Monthly,33,2160.00,14160.00
corporate_monthly,Integrated IPM,4 Visits/Month,Warehouse / Fulfilment Centre - Medium,9000.00,7900.00,18.00,Per month,"5,001-15,000 sq.ft.. Higher risk / storage. Standard report + sighting log; traps within normal consumption",Corporate Monthly,34,1620.00,10620.00
corporate_monthly,Integrated IPM,8 Visits/Month,Warehouse / Fulfilment Centre - Medium,15000.00,13200.00,18.00,Per month,"5,001-15,000 sq.ft.. Higher risk / storage. Standard report + sighting log; traps within normal consumption",Corporate Monthly,35,2700.00,17700.00
corporate_monthly,Integrated IPM,12 Visits/Month,Warehouse / Fulfilment Centre - Medium,21000.00,18500.00,18.00,Per month,"5,001-15,000 sq.ft.. Higher risk / storage. Standard report + sighting log; traps within normal consumption",Corporate Monthly,36,3780.00,24780.00
corporate_monthly,Integrated IPM,4 Visits/Month,Warehouse / Fulfilment Centre - Large,15000.00,13200.00,18.00,Per month,"15,001-30,000 sq.ft.. Higher risk / storage. Standard report + sighting log; traps within normal consumption",Corporate Monthly,37,2700.00,17700.00
corporate_monthly,Integrated IPM,8 Visits/Month,Warehouse / Fulfilment Centre - Large,25000.00,22000.00,18.00,Per month,"15,001-30,000 sq.ft.. Higher risk / storage. Standard report + sighting log; traps within normal consumption",Corporate Monthly,38,4500.00,29500.00
corporate_monthly,Integrated IPM,12 Visits/Month,Warehouse / Fulfilment Centre - Large,35000.00,30800.00,18.00,Per month,"15,001-30,000 sq.ft.. Higher risk / storage. Standard report + sighting log; traps within normal consumption",Corporate Monthly,39,6300.00,41300.00
corporate_monthly,Integrated IPM,4 Visits/Month,Factory / Food Processing - Small,6500.00,5700.00,18.00,Per month,"Up to 5,000 sq.ft.. Audit-sensitive. Standard report + sighting log; traps within normal consumption",Corporate Monthly,40,1170.00,7670.00
corporate_monthly,Integrated IPM,8 Visits/Month,Factory / Food Processing - Small,11000.00,9700.00,18.00,Per month,"Up to 5,000 sq.ft.. Audit-sensitive. Standard report + sighting log; traps within normal consumption",Corporate Monthly,41,1980.00,12980.00
corporate_monthly,Integrated IPM,12 Visits/Month,Factory / Food Processing - Small,15500.00,13650.00,18.00,Per month,"Up to 5,000 sq.ft.. Audit-sensitive. Standard report + sighting log; traps within normal consumption",Corporate Monthly,42,2790.00,18290.00
corporate_monthly,Integrated IPM,4 Visits/Month,Factory / Food Processing - Medium,11000.00,9700.00,18.00,Per month,"5,001-15,000 sq.ft.. Audit-sensitive. Standard report + sighting log; traps within normal consumption",Corporate Monthly,43,1980.00,12980.00
corporate_monthly,Integrated IPM,8 Visits/Month,Factory / Food Processing - Medium,19000.00,16700.00,18.00,Per month,"5,001-15,000 sq.ft.. Audit-sensitive. Standard report + sighting log; traps within normal consumption",Corporate Monthly,44,3420.00,22420.00
corporate_monthly,Integrated IPM,12 Visits/Month,Factory / Food Processing - Medium,27000.00,23750.00,18.00,Per month,"5,001-15,000 sq.ft.. Audit-sensitive. Standard report + sighting log; traps within normal consumption",Corporate Monthly,45,4860.00,31860.00
corporate_monthly,Integrated IPM,4 Visits/Month,Factory / Food Processing - Large,18500.00,16300.00,18.00,Per month,"15,001-30,000 sq.ft.. Audit-sensitive. Standard report + sighting log; traps within normal consumption",Corporate Monthly,46,3330.00,21830.00
corporate_monthly,Integrated IPM,8 Visits/Month,Factory / Food Processing - Large,31000.00,27300.00,18.00,Per month,"15,001-30,000 sq.ft.. Audit-sensitive. Standard report + sighting log; traps within normal consumption",Corporate Monthly,47,5580.00,36580.00
corporate_monthly,Integrated IPM,12 Visits/Month,Factory / Food Processing - Large,44000.00,38700.00,18.00,Per month,"15,001-30,000 sq.ft.. Audit-sensitive. Standard report + sighting log; traps within normal consumption",Corporate Monthly,48,7920.00,51920.00
multi_site,Integrated IPM,4 Visits/Month,Corporate Branch / Bank - 1-10 Outlets,2800.00,2450.00,18.00,Per outlet/month,Per outlet/month; central billing; standard reports; normal consumption,Multi-Site Chains,4,504.00,3304.00
multi_site,Integrated IPM,4 Visits/Month,Corporate Branch / Bank - 11-25 Outlets,2450.00,2150.00,18.00,Per outlet/month,Per outlet/month; central billing; standard reports; normal consumption,Multi-Site Chains,5,441.00,2891.00
multi_site,Integrated IPM,4 Visits/Month,Corporate Branch / Bank - 26-50 Outlets,2150.00,1900.00,18.00,Per outlet/month,Per outlet/month; central billing; standard reports; normal consumption,Multi-Site Chains,6,387.00,2537.00
multi_site,Integrated IPM,4 Visits/Month,Retail Outlet - 1-10 Outlets,3100.00,2750.00,18.00,Per outlet/month,Per outlet/month; central billing; standard reports; normal consumption,Multi-Site Chains,7,558.00,3658.00
multi_site,Integrated IPM,4 Visits/Month,Retail Outlet - 11-25 Outlets,2750.00,2400.00,18.00,Per outlet/month,Per outlet/month; central billing; standard reports; normal consumption,Multi-Site Chains,8,495.00,3245.00
multi_site,Integrated IPM,4 Visits/Month,Retail Outlet - 26-50 Outlets,2400.00,2100.00,18.00,Per outlet/month,Per outlet/month; central billing; standard reports; normal consumption,Multi-Site Chains,9,432.00,2832.00
multi_site,Integrated IPM,4 Visits/Month,Restaurant / Food Outlet - 1-10 Outlets,3800.00,3350.00,18.00,Per outlet/month,Per outlet/month; central billing; standard reports; normal consumption,Multi-Site Chains,10,684.00,4484.00
multi_site,Integrated IPM,4 Visits/Month,Restaurant / Food Outlet - 11-25 Outlets,3350.00,2950.00,18.00,Per outlet/month,Per outlet/month; central billing; standard reports; normal consumption,Multi-Site Chains,11,603.00,3953.00
multi_site,Integrated IPM,4 Visits/Month,Restaurant / Food Outlet - 26-50 Outlets,2950.00,2600.00,18.00,Per outlet/month,Per outlet/month; central billing; standard reports; normal consumption,Multi-Site Chains,12,531.00,3481.00
multi_site,Integrated IPM,4 Visits/Month,Quick-Commerce / Dark Store - 1-10 Outlets,4000.00,3500.00,18.00,Per outlet/month,Per outlet/month; central billing; standard reports; normal consumption,Multi-Site Chains,13,720.00,4720.00
multi_site,Integrated IPM,4 Visits/Month,Quick-Commerce / Dark Store - 11-25 Outlets,3500.00,3100.00,18.00,Per outlet/month,Per outlet/month; central billing; standard reports; normal consumption,Multi-Site Chains,14,630.00,4130.00
multi_site,Integrated IPM,4 Visits/Month,Quick-Commerce / Dark Store - 26-50 Outlets,3100.00,2750.00,18.00,Per outlet/month,Per outlet/month; central billing; standard reports; normal consumption,Multi-Site Chains,15,558.00,3658.00
multi_site,Integrated IPM,8 Visits/Month,Quick-Commerce / Dark Store - 1-10 Outlets,6500.00,5700.00,18.00,Per outlet/month,Per outlet/month; central billing; standard reports; normal consumption,Multi-Site Chains,16,1170.00,7670.00
multi_site,Integrated IPM,8 Visits/Month,Quick-Commerce / Dark Store - 11-25 Outlets,5750.00,5050.00,18.00,Per outlet/month,Per outlet/month; central billing; standard reports; normal consumption,Multi-Site Chains,17,1035.00,6785.00
multi_site,Integrated IPM,8 Visits/Month,Quick-Commerce / Dark Store - 26-50 Outlets,5100.00,4500.00,18.00,Per outlet/month,Per outlet/month; central billing; standard reports; normal consumption,Multi-Site Chains,18,918.00,6018.00
addon,Extra planned visit,Add-On,Per visit,1200.00,,18.00,Per visit,Beyond contracted frequency,Add-ons,4,216.00,1416.00
addon,Emergency visit within 4 hours,Add-On,Per visit,2500.00,,18.00,Per visit,Subject to availability,Add-ons,5,450.00,2950.00
addon,Night service surcharge (11 PM-6 AM),Add-On,Per visit,1000.00,,18.00,Per visit,Add to normal visit charge,Add-ons,6,180.00,1180.00
addon,Tamper-resistant bait station,Add-On,Per unit,650.00,,18.00,Per unit,New/replacement equipment,Add-ons,7,117.00,767.00
addon,Glue board / monitoring trap,Add-On,Per unit,120.00,,18.00,Per unit,Above package consumption,Add-ons,8,22.00,142.00
addon,Rodent cage,Add-On,Per unit,900.00,,18.00,Per unit,Returnable if specified,Add-ons,9,162.00,1062.00
addon,Fly catcher servicing,Add-On,Per unit/month,750.00,,18.00,Per unit/month,Machine/tube replacement extra,Add-ons,10,135.00,885.00
addon,Detailed audit report,Add-On,Per report,2500.00,,18.00,Per report,Standard service report remains included,Add-ons,11,450.00,2950.00
addon,Additional supervisor audit,Add-On,Per visit,2000.00,,18.00,Per visit,Written observations included,Add-ons,12,360.00,2360.00
addon,Structural pest proofing,Add-On,Per running ft.,350.00,,18.00,Per running ft.,Material-dependent final quotation,Add-ons,13,63.00,413.00
addon,Mosquito larvicide treatment,Add-On,"Per 1,000 sq.ft.",1200.00,,18.00,"Per 1,000 sq.ft.",Water bodies/drains after inspection,Add-ons,14,216.00,1416.00
addon,Disinfection / sanitization,Add-On,"Per 1,000 sq.ft.",1500.00,,18.00,"Per 1,000 sq.ft.",Chemical and access dependent,Add-ons,15,270.00,1770.00
